Index,NOC,Year,Season,Host,CompetitorID
188,AUS,1964,Summer,0,291
189,AUS,1964,Winter,0,14
190,AUS,1968,Summer,0,171
191,AUS,1968,Winter,0,7
192,AUS,1972,Summer,0,195
193,AUS,1972,Winter,0,12
194,AUS,1976,Summer,0,209
195,AUS,1976,Winter,0,19
196,AUS,1980,Summer,0,152
197,AUS,1980,Winter,0,19
198,AUS,1984,Summer,0,243
199,AUS,1984,Winter,0,20
200,AUS,1988,Summer,0,241
201,AUS,1988,Winter,0,30
202,AUS,1992,Summer,0,267
203,AUS,1992,Winter,0,37
204,AUS,1994,Winter,0,40
205,AUS,1996,Summer,0,382
206,AUS,1998,Winter,0,27
207,AUS,2000,Summer,1,489
208,AUS,2002,Winter,0,38
209,AUS,2004,Summer,0,377
210,AUS,2006,Winter,0,40
211,AUS,2008,Summer,0,381
212,AUS,2010,Winter,0,43
213,AUS,2012,Summer,0,350
214,AUS,2014,Winter,0,78
215,AUS,2016,Summer,0,340
216,AUT,1896,Summer,0,8
217,AUT,1900,Summer,0,26
218,AUT,1904,Summer,0,7
219,AUT,1906,Summer,0,90
220,AUT,1908,Summer,0,12
221,AUT,1912,Summer,0,87
222,AUT,1924,Summer,0,47
223,AUT,1924,Winter,0,4
224,AUT,1928,Summer,0,91
225,AUT,1928,Winter,0,28
226,AUT,1932,Summer,0,33
227,AUT,1932,Winter,0,11
228,AUT,1936,Summer,0,272
229,AUT,1936,Winter,0,48
230,AUT,1948,Summer,0,182
231,AUT,1948,Winter,0,67
232,AUT,1952,Summer,0,170
233,AUT,1952,Winter,0,61
234,AUT,1956,Summer,0,45
235,AUT,1956,Winter,0,58
236,AUT,1960,Summer,0,161
237,AUT,1960,Winter,0,42
238,AUT,1964,Summer,1,69
239,AUT,1964,Winter,1,84
240,AUT,1968,Summer,0,49
241,AUT,1968,Winter,0,76
242,AUT,1972,Summer,0,109
243,AUT,1972,Winter,0,52
244,AUT,1976,Summer,1,61
245,AUT,1976,Winter,1,79
246,AUT,1980,Summer,0,70
247,AUT,1980,Winter,0,50
248,AUT,1984,Summer,0,101
249,AUT,1984,Winter,0,68
250,AUT,1988,Summer,0,83
251,AUT,1988,Winter,0,107
252,AUT,1992,Summer,0,98
253,AUT,1992,Winter,0,99
254,AUT,1994,Winter,0,89
255,AUT,1996,Summer,0,77
256,AUT,1998,Winter,0,113
257,AUT,2000,Summer,0,90
258,AUT,2002,Winter,0,109
259,AUT,2004,Summer,0,77
260,AUT,2006,Winter,0,110
261,AUT,2008,Summer,0,77
262,AUT,2010,Winter,0,114
263,AUT,2012,Summer,0,77
264,AUT,2014,Winter,0,160
265,AUT,2016,Summer,0,74
266,AZE,1996,Summer,0,24
267,AZE,1998,Winter,0,4
268,AZE,2000,Summer,0,32
269,AZE,2002,Winter,0,4
270,AZE,2004,Summer,0,37
271,AZE,2006,Winter,0,2
272,AZE,2008,Summer,0,44
273,AZE,2010,Winter,0,4
274,AZE,2012,Summer,0,58
275,AZE,2014,Winter,0,4
276,AZE,2016,Summer,0,69
277,BAH,1952,Summer,0,6
278,BAH,1956,Summer,0,4
279,BAH,1960,Summer,0,12
280,BAH,1964,Summer,0,11
281,BAH,1968,Summer,0,18
282,BAH,1972,Summer,0,21
283,BAH,1976,Summer,0,16
284,BAH,1984,Summer,0,27
285,BAH,1988,Summer,0,17
286,BAH,1992,Summer,0,16
287,BAH,1996,Summer,0,22
288,BAH,2000,Summer,0,27
289,BAH,2004,Summer,0,20
290,BAH,2008,Summer,0,27
291,BAH,2012,Summer,0,23
292,BAH,2016,Summer,0,31
293,BAN,1984,Summer,0,2
294,BAN,1988,Summer,0,8
295,BAN,1992,Summer,0,6
296,BAN,1996,Summer,0,4
297,BAN,2000,Summer,0,6
298,BAN,2004,Summer,0,4
299,BAN,2008,Summer,0,5
300,BAN,2012,Summer,0,7
301,BAN,2016,Summer,0,7
302,BAR,1968,Summer,0,13
303,BAR,1972,Summer,0,17
304,BAR,1976,Summer,0,11
305,BAR,1984,Summer,0,19
306,BAR,1988,Summer,0,22
307,BAR,1992,Summer,0,19
308,BAR,1996,Summer,0,22
309,BAR,2000,Summer,0,22
310,BAR,2004,Summer,0,15
311,BAR,2008,Summer,0,10
312,BAR,2012,Summer,0,8
313,BAR,2016,Summer,0,13
314,BDI,1996,Summer,0,7
315,BDI,2000,Summer,0,6
316,BDI,2004,Summer,0,7
317,BDI,2008,Summer,0,3
318,BDI,2012,Summer,0,6
319,BDI,2016,Summer,0,10
320,BEL,1900,Summer,0,74
321,BEL,1906,Summer,0,28
322,BEL,1908,Summer,0,76
323,BEL,1912,Summer,0,46
324,BEL,1920,Summer,1,278
325,BEL,1924,Summer,0,165
326,BEL,1924,Winter,0,19
327,BEL,1928,Summer,0,179
328,BEL,1928,Winter,0,5
329,BEL,1932,Summer,0,65
330,BEL,1932,Winter,0,2
331,BEL,1936,Summer,0,154
332,BEL,1936,Winter,0,18
333,BEL,1948,Summer,0,126
334,BEL,1948,Winter,0,13
335,BEL,1952,Summer,0,130
336,BEL,1952,Winter,0,12
337,BEL,1956,Summer,0,55
338,BEL,1956,Winter,0,5
339,BEL,1960,Summer,0,103
340,BEL,1964,Summer,0,43
341,BEL,1964,Winter,0,6
342,BEL,1968,Summer,0,73
343,BEL,1972,Summer,0,77
344,BEL,1972,Winter,0,3
345,BEL,1976,Summer,0,110
346,BEL,1976,Winter,0,11
347,BEL,1980,Summer,0,67
348,BEL,1980,Winter,0,6
349,BEL,1984,Summer,0,75
350,BEL,1984,Winter,0,9
351,BEL,1988,Summer,0,84
352,BEL,1988,Winter,0,1
353,BEL,1992,Summer,0,90
354,BEL,1992,Winter,0,4
355,BEL,1994,Winter,0,8
356,BEL,1996,Summer,0,75
357,BEL,1998,Winter,0,3
358,BEL,2000,Summer,0,80
359,BEL,2002,Winter,0,10
360,BEL,2004,Summer,0,58
361,BEL,2006,Winter,0,8
362,BEL,2008,Summer,0,70
363,BEL,2010,Winter,0,9
364,BEL,2012,Summer,0,90
365,BEL,2014,Winter,0,10
366,BEL,2016,Summer,0,107
367,BEN,1972,Summer,0,3
368,BEN,1980,Summer,0,17
369,BEN,1984,Summer,0,3
370,BEN,1988,Summer,0,7
371,BEN,1992,Summer,0,7
372,BEN,1996,Summer,0,4
373,BEN,2000,Summer,0,4
374,BEN,2004,Summer,0,4
375,BEN,2008,Summer,0,5
376,BEN,2012,Summer,0,5
377,BEN,2016,Summer,0,6
378,BER,1936,Summer,0,6
379,BER,1948,Summer,0,22
380,BER,1952,Summer,0,12
381,BER,1956,Summer,0,3
382,BER,1960,Summer,0,8
383,BER,1964,Summer,0,4
384,BER,1968,Summer,0,6
385,BER,1972,Summer,0,9
386,BER,1976,Summer,0,16
387,BER,1984,Summer,0,13
388,BER,1988,Summer,0,14
389,BER,1992,Summer,0,24
390,BER,1992,Winter,0,1
391,BER,1994,Winter,0,1
392,BER,1996,Summer,0,9
393,BER,1998,Winter,0,1
394,BER,2000,Summer,0,6
395,BER,2002,Winter,0,1
396,BER,2004,Summer,0,9
397,BER,2006,Winter,0,1
398,BER,2008,Summer,0,6
399,BER,2010,Winter,0,1
400,BER,2012,Summer,0,8
401,BER,2014,Winter,0,1
