,year,season,Country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Actual_Predicted,Latitude,Longitude
50,2014,Winter,Latvia,LAT,1993780.0,20751.0,0.01165,0,5.0,0.011080853526036282,0.011080853526036282,3.257770936654667,1.742229063345333,56.8406494,24.7537645
51,2014,Winter,Switzerland,SUI,8188650.0,59485.0,0.0425359,0,11.0,0.06414483323894399,0.06414483323894399,18.858580972249534,-7.858580972249534,46.7985624,8.2319736
52,2014,Winter,Greece,GRE,10892400.0,22344.0,0.00352208,0,0.0,0.0027849420969422983,0.0027849420969422983,0.8187729765010356,-0.8187729765010356,38.9953683,21.9877132
53,2014,Winter,Portugal,POR,10401100.0,24423.0,0.00108372,0,0.0,0.001081000658626376,0.001081000658626376,0.31781419363615454,-0.31781419363615454,40.0332629,-7.8896263
54,2014,Winter,Belgium,BEL,11209100.0,38228.0,0.00270929,0,0.0,0.009564984847544044,0.009564984847544044,2.812105545177949,-2.812105545177949,50.6402809,4.6667145
55,2014,Winter,Argentina,ARG,42669500.0,19183.0,0.00541859,0,0.0,0.003262081366103526,0.003262081366103526,0.9590519216344366,-0.9590519216344366,-34.9964963,-64.9672817
56,2014,Winter,Slovakia,SVK,5418650.0,23703.0,0.019236,0,1.0,0.020933385659208884,0.020933385659208884,6.154415383807412,-5.154415383807412,48.7411522,19.4528646
57,2014,Winter,Estonia,EST,1314550.0,24146.0,0.0143593,0,0.0,0.015738223939656657,0.015738223939656657,4.627037838259057,-4.627037838259057,58.7523778,25.3319078
58,2014,Winter,Poland,POL,38011700.0,23266.0,0.0314278,0,6.0,0.03417378595621105,0.03417378595621105,10.04709307112605,-4.047093071126049,52.215933,19.134422
59,2014,Winter,China,CHN,1371860000.0,11944.0,0.0254674,0,9.0,0.017770747316901266,0.017770747316901266,5.224599711168972,3.775400288831028,35.000074,104.999927
60,2014,Winter,Sweden,SWE,9696110.0,42476.0,0.0260092,0,15.0,0.037533742715723586,0.037533742715723586,11.034920358422735,3.9650796415772653,59.6749712,14.5208584
61,2014,Winter,Hungary,HUN,9866470.0,22040.0,0.00894067,0,0.0,0.008666444211376079,0.008666444211376079,2.5479345981445674,-2.5479345981445674,47.1817585,19.5060937
62,2014,Winter,Venezuela,VEN,30043000.0,20317.0,0.000270929,0,0.0,-0.0018726069746703815,0.0,0.0,0.0,8.0018709,-66.1109318
63,2014,Winter,Chile,CHI,164107.0,21335.0,0.00379301,0,0.0,0.0026326069055823426,0.0026326069055823426,0.7739864302412087,-0.7739864302412087,-31.7613365,-71.3187697
64,2014,Winter,Chile,CHI,17759000.0,21335.0,0.00379301,0,0.0,0.0025759171960695274,0.0025759171960695274,0.757319655644441,-0.757319655644441,-31.7613365,-71.3187697
65,2014,Winter,Montenegro,MNE,621810.0,16437.0,0.000812788,0,0.0,-0.0030524733199427286,0.0,0.0,0.0,42.9868853,19.5180992
66,2014,Winter,Malta,MLT,434558.0,26998.0,0.000541859,0,0.0,0.0017563962009913264,0.0017563962009913264,0.5163804830914499,-0.5163804830914499,35.8885993,14.4476911
67,2014,Winter,Philippines,PHI,100513000.0,6763.0,0.000270929,0,0.0,-0.008657233308154617,0.0,0.0,0.0,12.7503486,122.7312101
68,2014,Winter,Ukraine,UKR,45272200.0,9818.0,0.0214034,0,2.0,0.01649733229407816,0.01649733229407816,4.85021569445898,-2.8502156944589796,49.4871968,31.2718321
69,2014,Winter,India,IND,1295600000.0,5458.0,0.000541859,0,0.0,-0.012837842488923142,0.0,0.0,0.0,22.3511148,78.6677428
70,2014,Winter,Ireland,IRL,4657740.0,52651.0,0.00216743,0,0.0,0.015961572329676006,0.015961572329676006,4.692702264924746,-4.692702264924746,52.865196,-7.9794599
71,2014,Winter,Peru,PER,30090400.0,11186.0,0.00135465,0,0.0,-0.005085380801805009,0.0,0.0,0.0,-6.8699697,-75.0458515
72,2014,Winter,Moldova,MDA,2856950.0,5739.0,0.00135465,0,0.0,-0.007632955488575892,0.0,0.0,0.0,47.2879608,28.5670941
73,2014,Winter,Nepal,NEP,26906000.0,2421.0,0.000270929,0,0.0,-0.01052078384099198,0.0,0.0,0.0,28.1083929,84.0917139
