Year,Season,Country,NOC,Population,gdp_per_capita,athlete_share,Host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,,Lattitude,Longitude
2020,Summer,Cuba,CUB,11326616,6530,0.006095968,0,15,0.004733568,0.004733568,5.112253326,9.887746674,9.887746674,23.0131338,-80.8328748
2020,Summer,Cyprus,CYP,1207361,27054,0.001306279,0,0,-0.0025493,0,0,0,0,34.9823018,33.1451285
2020,Summer,Czech Republic,CZE,10698896,22579,0.010014804,0,0,0.00960903,0.00960903,10.37775271,-10.37775271,10.37775271,49.8167003,15.4749544
2020,Summer,Democratic Republic of the Congo,COD,89561404,541,0.000609597,0,0,-0.001327852,0,0,0,0,-4.038333,21.758664
2020,Summer,Denmark,DEN,5831404,60494,0.009318122,0,11,0.007494717,0.007494717,8.094294012,2.905705988,2.905705988,55.670249,10.3333283
2020,Summer,Djibouti,DJI,988002,3074,0.000348341,0,0,-0.003172419,0,0,0,0,11.8145966,42.8453061
2020,Summer,Dominica,DMA,71991,6904,0.000174171,0,0,-0.003534354,0,0,0,0,19.0974031,-70.3028026
2020,Summer,Dominican Republic,DOM,10847904,7530,0.005399286,0,5,0.003746993,0.003746993,4.046752937,0.953247063,0.953247063,19.0974031,-70.3028026
2020,Summer,Ecuador,ECU,17643060,5520,0.004180092,0,3,0.002250204,0.002250204,2.430220421,0.569779579,0.569779579,-1.3397668,-79.3666965
2020,Summer,Egypt,EGY,102334403,3587,0.011582339,0,6,0.013755843,0.013755843,14.85631089,-8.856310893,8.856310893,26.2540493,29.2675469
2020,Summer,El Salvador,ESA,6486201,3794,0.000435426,0,0,-0.002986386,0,0,0,0,13.8000382,-88.9140683
2020,Summer,Equatorial Guinea,GEQ,1402985,6773,0.000261256,0,0,-0.003390545,0,0,0,0,1.613172,10.5170357
2020,Summer,Eritrea,ERI,3546421,588,0.001132108,0,0,-0.001991248,0,0,0,0,15.9500319,37.9999668
2020,Summer,Estonia,EST,1331057,23330,0.002873813,0,2,-0.000302517,0,0,2,2,58.7523778,25.3319078
2020,Summer,Eswatini,SWZ,1160164,3504,0.000348341,0,0,-0.003181987,0,0,0,0,26.522503 ,31.465866
