Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude
2016,summer,Chile,CHI,18209100,21696,0.00438865,0,0,0.001479964,0.001479964,1.416325214,-1.416325214,-31.7613365,-71.3187697
2016,summer,Saudi Arabia,KSA,32443400,51397,0.00112268,0,0,-0.004613062,0,0,0,25.6242618,42.3528328
2016,summer,Sudan,SUD,39847400,3651,0.00061237,0,0,-0.002665445,0,0,0,14.5844444,29.4917691
2016,summer,Ecuador,ECU,16491100,10527,0.00408247,0,0,0.001597827,0.001597827,1.529120222,-1.529120222,-1.3397668,-79.3666965
2016,summer,0,YEM,27168200,2506,0.000306185,0,0,-0.003289718,0,0,0,0,0
2016,summer,North Macedonia,MKD,2072490,12644,0.00061237,0,0,-0.003856127,0,0,0,41.6171214,21.7168387
2016,summer,Indonesia,INA,261556000,10911,0.00244948,0,3,0.003795106,0.003795106,3.631916131,-0.631916131,-2.4833826,117.8902853
2016,summer,Georgia,GEO,3727510,10899,0.00438865,0,7,0.00178549,0.00178549,1.708714314,5.291285686,32.3293809,-83.1137366
2016,summer,Cuba,CUB,11335100,8000,0.0123495,0,11,0.013714358,0.013714358,13.12464062,-2.12464062,23.0131338,-80.8328748
2016,summer,Saint Lucia,LCA,180028,10233,0.000510308,0,0,-0.003911819,0,0,0,13.8250489,-60.975036
2016,summer,0,PUR,3406670,35082,0.00306185,0,1,-0.001452636,0,0,1,0,0
2016,summer,Turkey,TUR,79827900,17906,0.0117371,0,8,0.013576392,0.013576392,12.99260726,-4.992607256,38.9597594,34.9249653
2016,summer,Croatia,CRO,4174350,20376,0.00673607,0,10,0.00471653,0.00471653,4.51371953,5.48628047,45.5643442,17.0118954
2016,summer,Swaziland,SWZ,1113990,7881,0.000204123,0,0,-0.004215797,0,0,0,-26.5624806,31.3991317
2016,summer,Morocco,MAR,35126300,8039,0.00530721,0,1,0.003870345,0.003870345,3.70391973,-2.70391973,31.1728205,-7.3362482
2016,summer,Benin,BEN,10872100,2080,0.00061237,0,0,-0.003125719,0,0,0,9.5293472,2.2584408
2016,summer,Seychelles,SEY,94677,26624,0.00102062,0,0,-0.004044663,0,0,0,-4.6574977,55.4540146
2016,summer,Equatorial Guinea,GEQ,1215180,33317,0.000102062,0,0,-0.005723667,0,0,0,1.613172,10.5170357
