Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude,Unnamed: 0,year,Country,Difference_Actual_Predicted,Latitude,Longitude
2016.0,summer,Nigeria,NGR,185960000.0,5360.0,0.00561339,0,1.0,0.007294452,0.007294452,6.980790681,-5.980790681,9.6000359,7.9999721,,,,,,
2016.0,summer,Sao Tome and Principe,STP,203221.0,3624.0,0.000306185,0,0.0,-0.003856071,0.0,0.0,0.0,0.8875498,6.9648718,,,,,,
2016.0,summer,India,IND,1324520000.0,6125.0,0.00887936,0,2.0,0.033413413,0.033413413,31.97663617,-29.97663617,22.3511148,78.6677428,,,,,,
2016.0,summer,Armenia,ARM,2936150.0,10080.0,0.0034701,0,4.0,0.000472425,0.000472425,0.452110845,3.547889155,40.7696272,44.6736646,,,,,,
2016.0,summer,Hungary,HUN,9814020.0,23279.0,0.0156154,0,15.0,0.017639969,0.017639969,16.88145034,-1.881450341,47.1817585,19.5060937,,,,,,
2016.0,summer,United Kingdom,GBR,65611600.0,37334.0,0.0345989,0,67.0,0.045671374,0.045671374,43.70750447,23.29249553,54.7023545,-3.2765753,,,,,,
2016.0,summer,South Korea,KOR,51217800.0,36103.0,0.0179628,0,21.0,0.021161328,0.021161328,20.25139126,0.748608744,35.7724185,127.7965435,,,,,,
2016.0,summer,Guinea-Bissau,GBS,1782430.0,1436.0,0.000510308,0,0.0,-0.003411135,0.0,0.0,0.0,12.100035,-14.9000214,,,,,,
2016.0,summer,Cyprus,CYP,1170190.0,25577.0,0.00214329,0,0.0,-0.002328219,0.0,0.0,0.0,34.9823018,33.1451285,,,,,,
2016.0,summer,Chile,CHI,166922.0,21696.0,0.00438865,0,0.0,0.001141035,0.001141035,1.091970191,-1.091970191,-31.7613365,-71.3187697,,,,,,
2016.0,summer,Qatar,QAT,2654380.0,156299.0,0.00244948,0,1.0,-0.008845762,0.0,0.0,1.0,25.3336984,51.2295295,,,,,,
2016.0,summer,Chile,CHI,18209100.0,21696.0,0.00438865,0,0.0,0.001479964,0.001479964,1.416325214,-1.416325214,-31.7613365,-71.3187697,,,,,,
2016.0,summer,Saudi Arabia,KSA,32443400.0,51397.0,0.00112268,0,0.0,-0.004613062,0.0,0.0,0.0,25.6242618,42.3528328,,,,,,
2016.0,summer,Sudan,SUD,39847400.0,3651.0,0.00061237,0,0.0,-0.002665445,0.0,0.0,0.0,14.5844444,29.4917691,,,,,,
2016.0,summer,Ecuador,ECU,16491100.0,10527.0,0.00408247,0,0.0,0.001597827,0.001597827,1.529120222,-1.529120222,-1.3397668,-79.3666965,,,,,,
2016.0,summer,0,YEM,27168200.0,2506.0,0.000306185,0,0.0,-0.003289718,0.0,0.0,0.0,0.0,0.0,,,,,,
2016.0,summer,North Macedonia,MKD,2072490.0,12644.0,0.00061237,0,0.0,-0.003856127,0.0,0.0,0.0,41.6171214,21.7168387,,,,,,
2016.0,summer,Indonesia,INA,261556000.0,10911.0,0.00244948,0,3.0,0.003795106,0.003795106,3.631916131,-0.631916131,-2.4833826,117.8902853,,,,,,
2016.0,summer,Georgia,GEO,3727510.0,10899.0,0.00438865,0,7.0,0.00178549,0.00178549,1.708714314,5.291285686,32.3293809,-83.1137366,,,,,,
2016.0,summer,Cuba,CUB,11335100.0,8000.0,0.0123495,0,11.0,0.013714358,0.013714358,13.12464062,-2.12464062,23.0131338,-80.8328748,,,,,,
2016.0,summer,Saint Lucia,LCA,180028.0,10233.0,0.000510308,0,0.0,-0.003911819,0.0,0.0,0.0,13.8250489,-60.975036,,,,,,
2016.0,summer,0,PUR,3406670.0,35082.0,0.00306185,0,1.0,-0.001452636,0.0,0.0,1.0,0.0,0.0,,,,,,
2016.0,summer,Turkey,TUR,79827900.0,17906.0,0.0117371,0,8.0,0.013576392,0.013576392,12.99260726,-4.992607256,38.9597594,34.9249653,,,,,,
2016.0,summer,Croatia,CRO,4174350.0,20376.0,0.00673607,0,10.0,0.00471653,0.00471653,4.51371953,5.48628047,45.5643442,17.0118954,,,,,,
2016.0,summer,Swaziland,SWZ,1113990.0,7881.0,0.000204123,0,0.0,-0.004215797,0.0,0.0,0.0,-26.5624806,31.3991317,,,,,,
