,NOC,Year,Season,Host,athlete_count_x,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,athlete_count_y,olympic_total,medal_share,athlete_share
40,NED,1960,Summer,0,103,11486631.0,13209.0,0.0,1.0,2.0,3.0,5272,297.0,0.010101010101010102,0.019537177541729893
41,NGR,1960,Summer,0,12,45138460.0,1307.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.002276176024279211
42,NOR,1960,Summer,0,48,3581239.0,11483.0,1.0,0.0,0.0,1.0,5272,297.0,0.003367003367003367,0.009104704097116844
43,NZL,1960,Summer,0,33,2371800.0,15087.0,2.0,0.0,1.0,3.0,5272,297.0,0.010101010101010102,0.00625948406676783
44,PAK,1960,Summer,0,38,44988690.0,1031.0,1.0,0.0,1.0,2.0,5272,297.0,0.006734006734006734,0.007207890743550834
45,PAN,1960,Summer,0,5,1133005.0,3217.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0009484066767830046
46,PER,1960,Summer,0,15,10155011.0,4733.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0028452200303490135
47,PHI,1960,Summer,0,43,26269741.0,2353.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.008156297420333839
48,POL,1960,Summer,0,228,29637450.0,5125.0,4.0,6.0,11.0,21.0,5272,297.0,0.0707070707070707,0.04324734446130501
49,POR,1960,Summer,0,85,8857716.0,4712.0,0.0,1.0,0.0,1.0,5272,297.0,0.003367003367003367,0.016122913505311077
50,PUR,1960,Summer,0,26,2358000.0,5451.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.004931714719271623
51,ROU,1960,Summer,0,114,18406905.0,1605.0,3.0,1.0,6.0,10.0,5272,297.0,0.03367003367003367,0.021623672230652504
52,RSA,1960,Summer,0,54,17099836.0,4847.0,0.0,1.0,2.0,3.0,5272,297.0,0.010101010101010102,0.01024279210925645
53,SGP,1960,Summer,0,5,1646400.0,3464.0,0.0,1.0,0.0,1.0,5272,297.0,0.003367003367003367,0.0009484066767830046
54,SRI,1960,Summer,0,5,9874476.0,2064.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0009484066767830046
55,SUD,1960,Summer,0,13,7544498.0,1632.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0024658573596358117
56,SUI,1960,Summer,0,167,5327827.0,16358.36,0.0,3.0,3.0,6.0,5272,297.0,0.020202020202020204,0.03167678300455235
57,SWE,1960,Summer,0,213,7484656.0,13849.0,1.0,2.0,3.0,6.0,5272,297.0,0.020202020202020204,0.04040212443095599
58,THA,1960,Summer,0,20,27397208.0,1718.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0037936267071320183
59,TUN,1960,Summer,0,39,4178235.0,2141.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.007397572078907435
60,TUR,1960,Summer,0,43,27472339.0,3041.0,7.0,2.0,0.0,9.0,5272,297.0,0.030303030303030304,0.008156297420333839
61,UGA,1960,Summer,0,13,6767092.0,1137.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0024658573596358117
62,USA,1960,Summer,0,330,180671000.0,18057.0,34.0,21.0,16.0,71.0,5272,297.0,0.23905723905723905,0.0625948406676783
63,VEN,1960,Summer,0,40,8141839.0,12116.0,0.0,0.0,1.0,1.0,5272,297.0,0.003367003367003367,0.007587253414264037
64,ZIM,1960,Summer,0,7,3776679.0,1495.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0013277693474962064
65,AFG,1964,Summer,0,8,9744772.0,1291.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0016028851933480265
66,ALG,1964,Summer,0,7,12221675.0,2879.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.001402524544179523
67,ARG,1964,Summer,0,104,21824427.0,9446.0,0.0,1.0,0.0,1.0,4991,335.0,0.0029850746268656717,0.020837507513524343
68,AUS,1964,Summer,0,291,11167000.0,15699.0,6.0,2.0,10.0,18.0,4991,335.0,0.05373134328358209,0.05830494890803446
69,AUT,1964,Summer,0,69,7223801.0,12062.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.013824884792626729
70,BEL,1964,Summer,0,43,9378113.0,13295.0,2.0,0.0,1.0,3.0,4991,335.0,0.008955223880597015,0.008615507914245642
71,BOL,1964,Summer,0,1,3957759.0,2809.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0002003606491685033
72,BRA,1964,Summer,0,30,81064572.0,3637.0,0.0,0.0,1.0,1.0,4991,335.0,0.0029850746268656717,0.006010819475055099
73,BUL,1964,Summer,0,100,8144340.0,5829.0,3.0,5.0,2.0,10.0,4991,335.0,0.029850746268656716,0.02003606491685033
74,CAM,1964,Summer,0,11,6331443.0,1074.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0022039671408535366
75,CAN,1964,Summer,0,159,19325000.0,15938.0,1.0,2.0,1.0,4.0,4991,335.0,0.011940298507462687,0.031857343217792024
76,CHA,1964,Summer,0,2,3246527.0,929.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0004007212983370066
77,CHI,1964,Summer,0,16,113777.0,7320.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.003205770386696053
78,CHI,1964,Summer,0,16,8821855.0,7320.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.003205770386696053
79,CIV,1964,Summer,0,10,4071411.0,2691.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.002003606491685033
80,CMR,1964,Summer,0,2,5643039.0,1390.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0004007212983370066
81,COL,1964,Summer,0,30,18175187.0,4264.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.006010819475055099
82,CRC,1964,Summer,0,2,1539942.0,4720.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0004007212983370066
83,CUB,1964,Summer,0,67,7793258.0,3158.0,0.0,1.0,0.0,1.0,4991,335.0,0.0029850746268656717,0.013424163494289721
84,DEN,1964,Summer,0,54,4722072.0,16832.0,2.0,1.0,3.0,6.0,4991,335.0,0.01791044776119403,0.010819475055099179
85,DOM,1964,Summer,0,1,3757123.0,2365.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0002003606491685033
86,EGY,1964,Summer,0,49,29644875.0,1859.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.009817671809256662
87,ESP,1964,Summer,0,43,31609195.0,6945.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.008615507914245642
88,ETH,1964,Summer,0,16,24397010.0,840.0,1.0,0.0,0.0,1.0,4991,335.0,0.0029850746268656717,0.003205770386696053
89,FIN,1964,Summer,0,135,4548543.0,11647.0,3.0,0.0,2.0,5.0,4991,335.0,0.014925373134328358,0.027048687637747947
90,FRA,1964,Summer,0,162,49230585.0,14057.0,1.0,8.0,6.0,15.0,4991,335.0,0.04477611940298507,0.03245842516529754
91,GBR,1964,Summer,0,224,54000000.0,15251.0,4.0,12.0,2.0,18.0,4991,335.0,0.05373134328358209,0.04488078541374474
92,GER,1964,Summer,0,360,75318337.0,14062.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.07212983370066119
93,GHA,1964,Summer,0,21,7524470.0,2254.0,0.0,0.0,1.0,1.0,4991,335.0,0.0029850746268656717,0.004207573632538569
94,GRE,1964,Summer,0,19,8510429.0,6601.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.003806852334201563
95,HKG,1964,Summer,0,31,3504600.0,6664.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.006211180124223602
96,HUN,1964,Summer,0,226,10119835.0,6994.0,10.0,7.0,5.0,22.0,4991,335.0,0.06567164179104477,0.04528150671208175
97,IND,1964,Summer,0,80,488848139.0,1309.0,1.0,0.0,0.0,1.0,4991,335.0,0.0029850746268656717,0.016028851933480266
98,IRL,1964,Summer,0,32,2866550.0,7948.0,0.0,0.0,1.0,1.0,4991,335.0,0.0029850746268656717,0.006411540773392106
99,IRQ,1964,Summer,0,16,8122199.0,4965.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.003205770386696053
100,ISL,1964,Summer,0,5,188983.0,13386.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0010018032458425166
101,ISR,1964,Summer,0,13,2475000.0,9430.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.002604688439190543
102,ITA,1964,Summer,0,185,51675350.0,11934.0,10.0,10.0,7.0,27.0,4991,335.0,0.08059701492537313,0.03706672009617311
103,JAM,1964,Summer,0,23,1730739.0,4629.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.004608294930875576
104,JPN,1964,Summer,1,326,96903000.0,9035.0,16.0,5.0,8.0,29.0,4991,335.0,0.08656716417910448,0.06531757162893208
