NOC,Year,Medal_Bronze,Medal_Silver,Medal_Gold
DEN,1968,0,0,0
DEN,1988,0,0,0
DEN,1992,0,0,0
DEN,1994,0,0,0
DEN,1998,0,5,0
DEN,2002,0,0,0
DEN,2006,0,0,0
DEN,2010,0,0,0
DEN,2014,0,0,0
DMA,2014,0,0,0
EGY,1984,0,0,0
ESP,1936,0,0,0
ESP,1948,0,0,0
ESP,1952,0,0,0
ESP,1956,0,0,0
ESP,1960,0,0,0
ESP,1964,0,0,0
ESP,1968,0,0,0
ESP,1972,0,0,1
ESP,1976,0,0,0
ESP,1980,0,0,0
ESP,1984,0,0,0
ESP,1988,0,0,0
ESP,1992,1,0,0
ESP,1994,0,0,0
ESP,1998,0,0,0
ESP,2002,0,0,0
ESP,2006,0,0,0
ESP,2010,0,0,0
ESP,2014,0,0,0
EST,1928,0,0,0
EST,1936,0,0,0
EST,1992,0,0,0
EST,1994,0,0,0
EST,1998,0,0,0
EST,2002,1,1,1
EST,2006,0,0,3
EST,2010,0,1,0
EST,2014,0,0,0
ETH,2006,0,0,0
ETH,2010,0,0,0
EUN,1992,9,7,11
FIJ,1988,0,0,0
FIJ,1994,0,0,0
FIJ,2002,0,0,0
FIN,1924,3,8,4
FIN,1928,1,1,2
FIN,1932,1,1,1
FIN,1936,3,2,1
FIN,1948,2,3,1
FIN,1952,2,4,3
FIN,1956,1,3,3
FIN,1960,3,3,2
FIN,1964,3,4,3
FIN,1968,2,2,1
FIN,1972,1,4,0
FIN,1976,1,4,2
FIN,1980,3,5,1
FIN,1984,6,3,4
FIN,1988,2,1,4
FIN,1992,3,1,3
FIN,1994,5,1,0
FIN,1998,6,4,2
FIN,2002,1,2,4
FIN,2006,3,9,0
FIN,2010,4,1,0
FIN,2014,1,3,1
FRA,1924,10,0,0
FRA,1928,0,0,2
FRA,1932,0,0,2
FRA,1936,1,0,0
FRA,1948,2,1,2
FRA,1952,1,0,0
FRA,1956,0,0,0
FRA,1960,2,0,1
FRA,1964,0,4,3
FRA,1968,2,3,4
FRA,1972,2,1,0
FRA,1976,1,0,0
FRA,1980,1,0,0
FRA,1984,2,1,0
FRA,1988,1,0,1
FRA,1992,1,6,3
FRA,1994,4,1,0
FRA,1998,6,1,2
FRA,2002,2,5,5
FRA,2006,4,2,3
FRA,2010,6,3,2
FRA,2014,7,4,4
FRG,1968,3,2,2
FRG,1972,0,1,2
FRG,1976,3,4,2
FRG,1980,3,2,0
FRG,1984,1,1,1
FRG,1988,1,4,2
GBR,1924,2,1,16
GBR,1928,1,0,0
GBR,1932,0,0,0
GBR,1936,1,1,1
GBR,1948,2,0,0
GBR,1952,0,0,1
GBR,1956,0,0,0
GBR,1960,0,0,0
GBR,1964,0,0,1
GBR,1968,0,0,0
GBR,1972,0,0,0
GBR,1976,0,0,1
GBR,1980,0,0,1
GBR,1984,0,0,2
GBR,1988,0,0,0
GBR,1992,0,0,0
GBR,1994,3,0,0
GBR,1998,1,0,0
GBR,2002,1,0,5
GBR,2006,0,1,0
GBR,2010,0,0,1
GBR,2014,5,4,1
GDR,1968,2,2,1
GDR,1972,8,3,3
GDR,1976,8,6,5
GDR,1980,6,7,8
GDR,1984,5,7,9
GDR,1988,5,9,8
GEO,1994,0,0,0
GEO,1998,0,0,0
GEO,2002,0,0,0
GEO,2006,0,0,0
GEO,2010,0,0,0
GEO,2014,0,0,0
GER,1928,0,0,0
GER,1932,1,0,0
GER,1936,0,3,4
GER,1952,2,2,3
GER,1956,1,0,1
GER,1960,1,4,4
GER,1964,3,4,3
GER,1992,6,7,10
GER,1994,7,7,9
GER,1998,8,9,11
GER,2002,8,15,11
GER,2006,6,12,8
GER,2010,7,12,9
GER,2014,6,6,8
GHA,2010,0,0,0
GRE,1936,0,0,0
GRE,1948,0,0,0
GRE,1952,0,0,0
GRE,1956,0,0,0
GRE,1964,0,0,0
GRE,1968,0,0,0
GRE,1972,0,0,0
GRE,1976,0,0,0
GRE,1980,0,0,0
GRE,1984,0,0,0
GRE,1988,0,0,0
