NOC,Year,summer_athlete_count
LIE,2000,2
LIE,2004,1
LIE,2008,2
LIE,2012,4
LIE,2016,3
LTU,1924,3
LTU,1928,13
LTU,1992,51
LTU,1996,73
LTU,2000,72
LTU,2004,62
LTU,2008,76
LTU,2012,72
LTU,2016,75
LUX,1900,1
LUX,1912,11
LUX,1920,22
LUX,1924,102
LUX,1928,82
LUX,1932,11
LUX,1936,105
LUX,1948,88
LUX,1952,75
LUX,1956,24
LUX,1960,97
LUX,1964,27
LUX,1968,7
LUX,1972,11
LUX,1976,9
LUX,1980,4
LUX,1984,5
LUX,1988,11
LUX,1992,8
LUX,1996,7
LUX,2000,8
LUX,2004,13
LUX,2008,19
LUX,2012,11
LUX,2016,15
MAD,1964,4
MAD,1968,6
MAD,1972,10
MAD,1980,18
MAD,1984,5
MAD,1992,16
MAD,1996,10
MAD,2000,10
MAD,2004,8
MAD,2008,6
MAD,2012,7
MAD,2016,6
MAL,1956,18
MAL,1960,11
MAR,1960,91
MAR,1964,10
MAR,1968,25
MAR,1972,19
MAR,1976,9
MAR,1984,21
MAR,1988,29
MAR,1992,27
MAR,1996,38
MAR,2000,39
MAR,2004,42
MAR,2008,49
MAR,2012,52
MAR,2016,52
MAS,1964,53
MAS,1968,16
MAS,1972,23
MAS,1976,10
MAS,1984,12
MAS,1988,16
MAS,1992,12
MAS,1996,22
MAS,2000,34
MAS,2004,34
MAS,2008,34
MAS,2012,31
MAS,2016,35
MAW,1972,18
MAW,1984,20
MAW,1988,19
MAW,1992,4
MAW,1996,2
MAW,2000,2
MAW,2004,4
MAW,2008,4
MAW,2012,3
MAW,2016,5
MDA,1996,48
MDA,2000,35
MDA,2004,33
MDA,2008,30
MDA,2012,20
MDA,2016,23
MDV,1988,6
MDV,1992,10
MDV,1996,6
MDV,2000,4
MDV,2004,4
MDV,2008,4
MDV,2012,5
MDV,2016,4
MEX,1900,1
MEX,1924,27
MEX,1928,42
MEX,1932,86
MEX,1936,29
MEX,1948,119
MEX,1952,69
MEX,1956,31
MEX,1960,89
MEX,1964,97
MEX,1968,305
MEX,1972,194
MEX,1976,92
MEX,1980,62
MEX,1984,125
MEX,1988,118
MEX,1992,100
MEX,1996,81
MEX,2000,87
MEX,2004,93
MEX,2008,93
MEX,2012,94
MEX,2016,102
MGL,1964,37
MGL,1968,38
MGL,1972,44
MGL,1976,33
MGL,1980,54
MGL,1988,30
MGL,1992,35
MGL,1996,18
MGL,2000,23
MGL,2004,21
MGL,2008,31
MGL,2012,32
MGL,2016,46
MHL,2008,5
MHL,2012,4
MHL,2016,5
MKD,1996,16
MKD,2000,15
MKD,2004,14
MKD,2008,7
MKD,2012,4
MKD,2016,6
MLI,1964,2
MLI,1968,2
MLI,1972,3
MLI,1980,7
MLI,1984,5
MLI,1988,8
MLI,1992,6
MLI,1996,4
MLI,2000,5
MLI,2004,6
MLI,2008,17
MLI,2012,6
MLI,2016,6
MLT,1928,1
MLT,1936,3
MLT,1948,1
MLT,1960,10
MLT,1968,1
MLT,1972,2
MLT,1980,9
MLT,1984,7
MLT,1988,6
MLT,1992,8
MLT,1996,10
MLT,2000,7
MLT,2004,7
MLT,2008,6
MLT,2012,5
MLT,2016,8
MNE,2008,8
MNE,2012,9
MNE,2016,9
MON,1920,7
MON,1924,9
MON,1928,8
MON,1932,1
MON,1936,11
MON,1948,4
MON,1952,9
MON,1960,13
MON,1964,1
MON,1968,2
MON,1972,5
MON,1976,10
MON,1984,8
MON,1988,9
MON,1992,4
MON,1996,4
MON,2000,4
MON,2004,3
MON,2008,5
MON,2012,6
MON,2016,8
MOZ,1980,16
MOZ,1984,11
MOZ,1988,12
MOZ,1992,7
MOZ,1996,3
MOZ,2000,4
MOZ,2004,4
MOZ,2008,4
MOZ,2012,6
MOZ,2016,7
MRI,1984,7
MRI,1988,10
MRI,1992,18
MRI,1996,25
MRI,2000,20
MRI,2004,9
MRI,2008,11
MRI,2012,10
MRI,2016,11
MTN,1984,2
MTN,1988,7
MTN,1992,6
MTN,1996,4
MTN,2000,2
MTN,2004,2
MTN,2008,2
MTN,2012,2
MTN,2016,2
MYA,1948,5
MYA,1952,5
MYA,1956,11
MYA,1960,9
MYA,1964,12
MYA,1968,4
MYA,1972,7
MYA,1980,2
MYA,1984,1
MYA,1988,3
MYA,1992,5
MYA,1996,3
MYA,2000,7
MYA,2004,2
MYA,2008,7
MYA,2012,6
MYA,2016,8
NAM,1992,10
NAM,1996,10
NAM,2000,16
NAM,2004,10
NAM,2008,11
NAM,2012,9
NAM,2016,11
NBO,1956,2
NCA,1968,16
NCA,1972,10
NCA,1976,22
NCA,1980,6
NCA,1984,5
NCA,1992,9
NCA,1996,9
NCA,2000,6
NCA,2004,6
NCA,2008,7
NCA,2012,6
NCA,2016,5
NED,1900,61
NED,1906,42
NED,1908,149
NED,1912,22
NED,1920,124
NED,1924,178
NED,1928,298
NED,1932,71
NED,1936,169
NED,1948,118
NED,1952,116
NED,1956,1
NED,1960,103
NED,1964,86
NED,1968,86
NED,1972,136
NED,1976,112
NED,1980,78
NED,1984,113
NED,1988,120
NED,1992,152
NED,1996,153
NED,2000,156
NED,2004,156
NED,2008,149
NED,2012,145
NED,2016,210
NEP,1964,6
NEP,1972,2
NEP,1976,1
NEP,1980,10
NEP,1984,10
NEP,1988,20
NEP,1992,2
NEP,1996,6
NEP,2000,5
NEP,2004,6
NEP,2008,8
NEP,2012,5
NEP,2016,7
NFL,1904,1
NGR,1952,12
NGR,1956,11
NGR,1960,12
NGR,1964,15
NGR,1968,22
NGR,1972,26
NGR,1980,31
NGR,1984,29
NGR,1988,54
NGR,1992,43
NGR,1996,54
NGR,2000,51
NGR,2004,46
NGR,2008,46
NGR,2012,50
NGR,2016,55
NIG,1964,1
NIG,1968,2
NIG,1972,4
NIG,1984,4
NIG,1988,6
NIG,1992,3
NIG,1996,3
NIG,2000,4
NIG,2004,4
NIG,2008,4
NIG,2012,6
NIG,2016,6
NOR,1900,25
NOR,1904,6
NOR,1906,32
NOR,1908,64
NOR,1912,163
NOR,1920,178
NOR,1924,81
NOR,1928,69
NOR,1932,8
NOR,1936,63
NOR,1948,83
NOR,1952,159
NOR,1956,27
NOR,1960,48
NOR,1964,38
NOR,1968,73
NOR,1972,120
NOR,1976,57
NOR,1984,102
NOR,1988,60
NOR,1992,82
NOR,1996,78
NOR,2000,72
NOR,2004,50
NOR,2008,66
NOR,2012,54
NOR,2016,64
NRU,1996,3
NRU,2000,2
NRU,2004,3
NRU,2008,1
NRU,2012,2
NRU,2016,2
NZL,1900,1
NZL,1920,6
NZL,1924,6
NZL,1928,13
NZL,1932,25
NZL,1936,9
NZL,1948,8
NZL,1952,16
NZL,1956,36
NZL,1960,33
NZL,1964,65
NZL,1968,42
NZL,1972,86
NZL,1976,74
NZL,1980,5
NZL,1984,109
NZL,1988,80
NZL,1992,109
NZL,1996,100
NZL,2000,135
NZL,2004,127
NZL,2008,113
NZL,2012,113
NZL,2016,143
OMA,1984,19
OMA,1988,10
OMA,1992,5
OMA,1996,5
OMA,2000,5
OMA,2004,2
OMA,2008,4
OMA,2012,3
OMA,2016,4
PAK,1948,23
PAK,1952,34
PAK,1956,57
PAK,1960,38
PAK,1964,29
PAK,1968,3
PAK,1972,12
PAK,1976,9
PAK,1984,17
PAK,1988,15
PAK,1992,12
PAK,1996,9
PAK,2000,12
PAK,2004,11
PAK,2008,7
PAK,2012,6
PAK,2016,7
PAN,1928,2
PAN,1948,2
PAN,1952,1
PAN,1960,5
PAN,1964,12
PAN,1968,16
PAN,1972,8
PAN,1976,13
PAN,1984,10
PAN,1988,9
PAN,1992,7
PAN,1996,9
PAN,2000,7
PAN,2004,5
PAN,2008,5
PAN,2012,8
PAN,2016,14
PAR,1968,1
PAR,1972,3
PAR,1976,6
PAR,1984,18
PAR,1988,12
PAR,1992,14
PAR,1996,7
PAR,2000,5
PAR,2004,6
PAR,2008,7
PAR,2012,10
PAR,2016,11
PER,1900,2
PER,1932,3
PER,1936,32
PER,1948,47
PER,1956,10
PER,1960,15
PER,1964,37
PER,1968,25
PER,1972,28
PER,1976,3
PER,1980,29
PER,1984,34
PER,1988,15
PER,1992,19
PER,1996,23
PER,2000,12
PER,2004,14
PER,2008,13
PER,2012,16
PER,2016,34
PHI,1924,2
PHI,1928,6
PHI,1932,8
PHI,1936,37
PHI,1948,31
PHI,1952,28
PHI,1956,45
PHI,1960,43
PHI,1964,61
PHI,1968,80
PHI,1972,67
PHI,1976,21
PHI,1984,32
PHI,1988,42
PHI,1992,35
PHI,1996,18
PHI,2000,22
PHI,2004,21
PHI,2008,17
PHI,2012,11
PHI,2016,13
PLE,1996,1
PLE,2000,2
PLE,2004,3
PLE,2008,4
PLE,2012,5
PLE,2016,6
PLW,2000,5
PLW,2004,4
PLW,2008,5
PLW,2012,5
PLW,2016,6
PNG,1976,9
PNG,1984,12
PNG,1988,15
PNG,1992,16
PNG,1996,11
PNG,2000,5
PNG,2004,6
PNG,2008,9
PNG,2012,8
PNG,2016,8
POL,1912,1
POL,1924,65
POL,1928,124
POL,1932,62
POL,1936,126
POL,1948,42
POL,1952,180
POL,1956,92
POL,1960,228
POL,1964,188
POL,1968,226
POL,1972,292
POL,1976,201
POL,1980,299
POL,1988,145
POL,1992,198
POL,1996,161
POL,2000,180
POL,2004,180
POL,2008,223
POL,2012,199
POL,2016,215
POR,1912,8
POR,1920,14
POR,1924,33
POR,1928,21
POR,1932,8
POR,1936,19
POR,1948,47
POR,1952,122
POR,1956,13
POR,1960,85
POR,1964,24
POR,1968,28
POR,1972,35
POR,1976,29
POR,1980,18
POR,1984,45
POR,1988,80
POR,1992,94
POR,1996,98
POR,2000,60
POR,2004,72
POR,2008,82
POR,2012,89
POR,2016,83
PRK,1972,65
PRK,1976,26
PRK,1980,111
PRK,1992,110
PRK,1996,32
PRK,2000,47
PRK,2004,65
PRK,2008,53
PRK,2012,36
PRK,2016,35
PUR,1948,9
PUR,1952,23
PUR,1956,11
PUR,1960,26
PUR,1964,45
PUR,1968,86
PUR,1972,55
PUR,1976,95
PUR,1980,3
PUR,1984,52
PUR,1988,56
PUR,1992,72
PUR,1996,71
PUR,2000,32
PUR,2004,51
PUR,2008,31
PUR,2012,28
PUR,2016,30
QAT,1984,10
QAT,1988,10
QAT,1992,11
QAT,1996,10
QAT,2000,16
QAT,2004,15
QAT,2008,20
QAT,2012,14
QAT,2016,24
RHO,1960,11
ROT,2016,12
ROU,1900,1
ROU,1924,15
ROU,1928,25
ROU,1932,2
ROU,1936,92
ROU,1952,190
ROU,1956,76
ROU,1960,114
ROU,1964,154
ROU,1968,79
ROU,1972,188
ROU,1976,180
ROU,1980,241
ROU,1984,151
ROU,1988,147
ROU,1992,238
ROU,1996,231
ROU,2000,200
ROU,2004,165
ROU,2008,141
ROU,2012,118
ROU,2016,89
RSA,1904,4
RSA,1908,32
RSA,1912,45
RSA,1920,61
RSA,1924,36
RSA,1928,37
RSA,1932,19
RSA,1936,48
RSA,1948,38
RSA,1952,88
RSA,1956,75
RSA,1960,54
RSA,1992,121
RSA,1996,83
RSA,2000,89
RSA,2004,82
RSA,2008,114
RSA,2012,79
RSA,2016,101
RUS,1900,5
RUS,1908,7
RUS,1912,207
RUS,1924,3
RUS,1996,418
RUS,2000,451
RUS,2004,447
RUS,2008,457
RUS,2012,409
RUS,2016,282
RWA,1984,6
RWA,1988,8
RWA,1992,10
RWA,1996,4
RWA,2000,5
RWA,2004,5
RWA,2008,4
RWA,2012,7
RWA,2016,7
SAA,1952,73
SAM,1984,9
SAM,1988,11
SAM,1992,5
SAM,1996,5
SAM,2000,5
SAM,2004,3
SAM,2008,7
SAM,2012,9
SAM,2016,9
SCG,1996,55
SCG,2000,69
SCG,2004,52
SEN,1964,8
SEN,1968,21
SEN,1972,34
SEN,1976,30
SEN,1980,36
SEN,1984,22
SEN,1988,29
SEN,1992,22
SEN,1996,9
SEN,2000,26
SEN,2004,18
SEN,2008,17
SEN,2012,16
SEN,2016,22
SEY,1980,15
SEY,1984,15
SEY,1992,21
SEY,1996,9
SEY,2000,9
SEY,2004,10
SEY,2008,9
SEY,2012,6
SEY,2016,10
SGP,1948,1
SGP,1952,7
SGP,1956,27
SGP,1960,5
SGP,1968,6
SGP,1972,12
SGP,1976,4
SGP,1984,8
SGP,1988,20
SGP,1992,35
SGP,1996,28
SGP,2000,21
SGP,2004,19
SGP,2008,28
SGP,2012,31
SGP,2016,29
SKN,1996,5
SKN,2000,4
SKN,2004,2
SKN,2008,6
SKN,2012,4
SKN,2016,6
SLE,1968,4
SLE,1980,26
SLE,1984,7
SLE,1988,14
SLE,1992,12
SLE,1996,10
SLE,2000,3
SLE,2004,2
SLE,2008,3
SLE,2012,2
SLE,2016,4
SLO,1992,41
SLO,1996,40
SLO,2000,61
SLO,2004,74
SLO,2008,68
SLO,2012,72
SLO,2016,49
SMR,1960,10
SMR,1968,4
SMR,1972,7
SMR,1976,10
SMR,1980,16
SMR,1984,31
SMR,1988,15
SMR,1992,16
SMR,1996,7
SMR,2000,4
SMR,2004,5
SMR,2008,4
SMR,2012,4
SMR,2016,4
SOL,1984,3
SOL,1988,5
SOL,1992,1
SOL,1996,4
SOL,2000,2
SOL,2004,2
SOL,2008,3
SOL,2012,4
SOL,2016,3
SOM,1972,4
SOM,1984,9
SOM,1988,5
SOM,1996,4
SOM,2000,2
SOM,2004,2
SOM,2008,2
SOM,2012,2
SOM,2016,2
SRB,1912,2
SRB,2008,49
SRB,2012,69
SRB,2016,93
SRI,1948,10
SRI,1952,7
SRI,1956,3
SRI,1960,5
SRI,1964,7
SRI,1968,3
SRI,1972,6
SRI,1980,1
SRI,1984,5
SRI,1988,9
SRI,1992,16
SRI,1996,11
SRI,2000,17
SRI,2004,8
SRI,2008,9
SRI,2012,8
SRI,2016,10
SSD,2016,3
STP,1996,2
STP,2000,2
STP,2004,2
STP,2008,4
STP,2012,2
STP,2016,3
SUD,1960,13
SUD,1968,7
SUD,1972,15
SUD,1984,9
SUD,1988,8
SUD,1992,7
SUD,1996,4
SUD,2000,3
SUD,2004,4
SUD,2008,9
SUD,2012,6
SUD,2016,6
SUI,1896,8
SUI,1900,44
SUI,1904,7
SUI,1906,41
SUI,1908,1
SUI,1912,7
SUI,1920,70
SUI,1924,195
SUI,1928,170
SUI,1932,9
SUI,1936,251
SUI,1948,230
SUI,1952,200
SUI,1956,12
SUI,1960,167
SUI,1964,108
SUI,1968,128
SUI,1972,214
SUI,1976,88
SUI,1980,52
SUI,1984,184
SUI,1988,126
SUI,1992,147
SUI,1996,130
SUI,2000,119
SUI,2004,116
SUI,2008,101
SUI,2012,94
SUI,2016,123
SUR,1968,1
SUR,1972,3
SUR,1976,4
SUR,1984,7
SUR,1988,10
SUR,1992,9
SUR,1996,11
SUR,2000,5
SUR,2004,4
SUR,2008,4
SUR,2012,5
SUR,2016,6
SVK,1996,89
SVK,2000,88
SVK,2004,72
SVK,2008,61
SVK,2012,57
SVK,2016,57
SWE,1896,5
SWE,1900,25
SWE,1906,85
SWE,1908,180
SWE,1912,551
SWE,1920,265
SWE,1924,179
SWE,1928,117
SWE,1932,119
SWE,1936,177
SWE,1948,166
SWE,1952,277
SWE,1956,152
SWE,1960,213
SWE,1964,143
SWE,1968,154
SWE,1972,130
SWE,1976,131
SWE,1980,150
SWE,1984,188
SWE,1988,158
SWE,1992,169
SWE,1996,148
SWE,2000,128
SWE,2004,110
SWE,2008,106
SWE,2012,102
SWE,2016,104
SWZ,1972,4
SWZ,1984,11
SWZ,1988,15
SWZ,1992,10
SWZ,1996,6
SWZ,2000,6
SWZ,2004,3
SWZ,2008,4
SWZ,2012,3
SWZ,2016,2
SYR,1948,1
SYR,1968,2
SYR,1972,5
SYR,1980,57
SYR,1984,9
SYR,1988,13
SYR,1992,9
SYR,1996,8
SYR,2000,8
SYR,2004,6
SYR,2008,7
SYR,2012,10
SYR,2016,7
TAN,1964,4
TAN,1968,5
TAN,1972,16
TAN,1980,33
TAN,1984,21
TAN,1988,10
TAN,1992,9
TAN,1996,7
TAN,2000,4
TAN,2004,9
TAN,2008,9
TAN,2012,6
TAN,2016,7
TCH,1920,92
TCH,1924,176
TCH,1928,117
TCH,1932,44
TCH,1936,239
TCH,1948,128
TCH,1952,183
TCH,1956,135
TCH,1960,173
TCH,1964,143
TCH,1968,150
TCH,1972,204
TCH,1976,198
TCH,1980,223
TCH,1988,172
TCH,1992,210
TGA,1984,7
TGA,1988,7
TGA,1992,5
TGA,1996,5
TGA,2000,3
TGA,2004,5
TGA,2008,3
TGA,2012,3
TGA,2016,7
THA,1952,12
THA,1956,26
THA,1960,20
THA,1964,53
THA,1968,27
THA,1972,30
THA,1976,48
THA,1984,34
THA,1988,12
THA,1992,49
THA,1996,45
THA,2000,55
THA,2004,46
THA,2008,46
THA,2012,41
THA,2016,55
TJK,1996,8
TJK,2000,4
TJK,2004,9
TJK,2008,16
TJK,2012,16
TJK,2016,7
TKM,1996,7
TKM,2000,8
TKM,2004,10
TKM,2008,10
TKM,2012,10
TKM,2016,9
TLS,2004,2
TLS,2008,1
TLS,2012,2
TLS,2016,3
TOG,1972,7
TOG,1984,6
TOG,1988,6
TOG,1992,6
TOG,1996,4
TOG,2000,3
TOG,2004,3
TOG,2008,4
TOG,2012,6
TOG,2016,5
TPE,1956,23
TPE,1960,19
TPE,1964,88
TPE,1968,87
TPE,1972,41
TPE,1984,51
TPE,1988,103
TPE,1992,17
TPE,1996,73
TPE,2000,67
TPE,2004,59
TPE,2008,48
TPE,2012,47
TPE,2016,57
TTO,1948,9
TTO,1952,2
TTO,1956,10
TTO,1964,14
TTO,1968,16
TTO,1972,25
TTO,1976,14
TTO,1980,9
TTO,1984,17
TTO,1988,10
TTO,1992,10
TTO,1996,16
TTO,2000,22
TTO,2004,20
TTO,2008,25
TTO,2012,29
TTO,2016,34
TUN,1960,39
TUN,1964,12
TUN,1968,8
TUN,1972,12
TUN,1976,5
TUN,1984,17
TUN,1988,15
TUN,1992,14
TUN,1996,25
TUN,2000,34
TUN,2004,38
TUN,2008,29
TUN,2012,62
TUN,2016,50
TUR,1906,2
TUR,1912,7
TUR,1924,13
TUR,1928,21
TUR,1932,2
TUR,1936,42
TUR,1948,59
TUR,1952,47
TUR,1956,24
TUR,1960,43
TUR,1964,24
TUR,1968,30
TUR,1972,47
TUR,1976,28
TUR,1984,56
TUR,1988,47
TUR,1992,50
TUR,1996,58
TUR,2000,63
TUR,2004,71
TUR,2008,70
TUR,2012,104
TUR,2016,115
TUV,2008,3
TUV,2012,3
TUV,2016,1
UAE,1984,8
UAE,1988,24
UAE,1992,24
UAE,1996,4
UAE,2000,5
UAE,2004,5
UAE,2008,9
UAE,2012,9
UAE,2016,12
UAR,1960,86
UGA,1956,5
UGA,1960,13
UGA,1964,16
UGA,1968,14
UGA,1972,19
UGA,1980,13
UGA,1984,27
UGA,1988,24
UGA,1992,9
UGA,1996,11
UGA,2000,13
UGA,2004,11
UGA,2008,11
UGA,2012,16
UGA,2016,23
UKR,1996,286
UKR,2000,308
UKR,2004,289
UKR,2008,286
UKR,2012,274
UKR,2016,231
UNK,1912,2
URS,1952,358
URS,1956,317
URS,1960,326
URS,1964,351
URS,1968,355
URS,1972,380
URS,1976,413
URS,1980,456
URS,1988,450
URU,1924,20
URU,1928,1
URU,1932,6
URU,1936,26
URU,1948,58
URU,1952,34
URU,1956,23
URU,1960,37
URU,1964,23
URU,1968,41
URU,1972,17
URU,1976,12
URU,1984,23
URU,1988,17
URU,1992,18
URU,1996,15
URU,2000,17
URU,2004,18
URU,2008,13
URU,2012,12
URU,2016,17
USA,1896,27
USA,1900,129
USA,1904,853
USA,1906,77
USA,1908,194
USA,1912,304
USA,1920,330
USA,1924,333
USA,1928,355
USA,1932,671
USA,1936,372
USA,1948,321
USA,1952,351
USA,1956,338
USA,1960,330
USA,1964,364
USA,1968,401
USA,1972,435
USA,1976,445
USA,1984,478
USA,1988,505
USA,1992,530
USA,1996,555
USA,2000,532
USA,2004,519
USA,2008,515
USA,2012,490
USA,2016,497
UZB,1996,78
UZB,2000,73
UZB,2004,74
UZB,2008,69
UZB,2012,56
UZB,2016,79
VAN,1988,6
VAN,1992,8
VAN,1996,4
VAN,2000,3
VAN,2004,2
VAN,2008,3
VAN,2012,5
VAN,2016,4
VEN,1932,1
VEN,1948,2
VEN,1952,50
VEN,1956,27
VEN,1960,40
VEN,1964,19
VEN,1968,24
VEN,1972,27
VEN,1976,41
VEN,1980,25
VEN,1984,35
VEN,1988,18
VEN,1992,28
VEN,1996,44
VEN,2000,56
VEN,2004,52
VEN,2008,88
VEN,2012,74
VEN,2016,96
VIE,1980,35
VIE,1988,12
VIE,1992,10
VIE,1996,6
VIE,2000,7
VIE,2004,11
VIE,2008,18
VIE,2012,24
VIE,2016,28
VIN,1988,6
VIN,1992,5
VIN,1996,6
VIN,2000,4
VIN,2004,3
VIN,2008,2
VIN,2012,3
VIN,2016,4
VNM,1952,10
VNM,1956,7
VNM,1960,5
VNM,1964,20
VNM,1968,9
VNM,1972,2
WIF,1960,16
YAR,1984,3
YAR,1988,8
YEM,1992,8
YEM,1996,4
YEM,2000,2
YEM,2004,3
YEM,2008,8
YEM,2012,4
YEM,2016,3
YMD,1988,5
YUG,1920,1
YUG,1924,93
YUG,1928,66
YUG,1932,1
YUG,1936,133
YUG,1948,110
YUG,1952,151
YUG,1956,17
YUG,1960,140
YUG,1964,90
YUG,1968,107
YUG,1972,162
YUG,1976,72
YUG,1980,105
YUG,1984,92
YUG,1988,113
ZAM,1964,15
ZAM,1968,7
ZAM,1972,12
ZAM,1980,27
ZAM,1984,18
ZAM,1988,13
ZAM,1992,11
ZAM,1996,8
ZAM,2000,8
ZAM,2004,6
ZAM,2008,8
ZAM,2012,7
ZAM,2016,7
ZIM,1928,2
ZIM,1960,7
ZIM,1964,18
ZIM,1980,37
ZIM,1984,20
ZIM,1988,44
ZIM,1992,27
ZIM,1996,17
ZIM,2000,22
ZIM,2004,13
ZIM,2008,16
ZIM,2012,9
ZIM,2016,15
